Loading required package: Rcpp
Loading required package: lattice
Loading required package: ggplot2
            macd  ma5         roc         rsi decision
116 -1.993589744 22.8 -0.03703704   750.00000       -1
117 -2.730769231 25.8 -0.20000000  4000.00000        1
118 -1.858974359 27.4  1.33333333  4000.00000        0
119 -0.307692308 27.4  4.00000000  -320.00000       -1
120  0.762820513 26.0  2.83333333   290.90909       -1
121  2.660256410 27.6 16.00000000   148.27586        1
122  4.320512821 27.2 25.00000000   210.00000       -1
123  5.224358974 24.6  1.50000000   323.07692       -1
124  5.602564103 23.2  0.38461538   264.70588        1
125  5.551282051 22.2 -0.10000000   333.33333        0
126  4.647435897 18.6 -0.36000000  1100.00000       -1
127  3.576923077 17.2 -0.36666667 -2900.00000        1
128  2.403846154 15.2 -0.80769231  -120.00000       -1
129  1.153846154 11.8 -0.96428571   -65.51724       -1
130 -0.096153846  8.4 -0.96428571   -76.00000        0
131 -0.519230769  6.6 -0.72000000  -109.52381        1
132 -1.615384615  4.4 -0.65217391  -120.00000        1
133 -3.807692308  5.4 -0.70588235  -173.33333        1
134 -4.891025641  9.0 -0.26923077  -875.00000        1
135 -5.166666667 12.8  0.33333333  -178.57143        1
136 -5.596153846 16.0  0.27777778  -933.33333        1
137 -6.012820513 18.2  0.05555556   700.00000       -1
138 -5.544871795 22.0  0.81250000   318.18182        1
139 -4.878205128 24.8  0.73684211   260.00000        1
140 -2.942307692 27.0  5.20000000   260.00000       -1
141 -0.839743590 27.0 22.00000000   900.00000       -1
142  0.839743590 26.6 16.00000000   300.00000       -1
143  2.724358974 27.0  3.42857143   166.66667        1
144  4.121794872 24.8  1.75000000   238.09524       -1
145  4.878205128 21.4  0.40000000   628.57143       -1
146  5.480769231 22.6  0.52631579   276.19048        1
147  5.929487179 22.8 -0.10000000   700.00000       -1
148  6.044871795 21.2  0.00000000  1300.00000        1
149  5.756410256 20.0 -0.15789474 -1275.00000       -1
150  4.974358974 21.4 -0.27586207 -2650.00000        1
151  3.679487179 19.0 -0.48484848 -2650.00000       -1
152  2.294871795 18.0 -0.58064516  -268.75000       -1
153  1.378205128 14.6 -0.73913043  -144.44444       -1
154  0.243589744 11.8 -0.88235294  -134.48276       -1
155 -2.211538462  8.0 -0.93548387  -185.71429        0
156 -3.871794872  5.2 -0.86363636  -285.71429        1
157 -4.410256410  4.2 -0.42857143  -134.78261        1
158 -5.397435897  8.0 -0.13793103  1600.00000        1
159 -5.750000000 11.0 -0.05555556  1600.00000       -1
160 -5.679487179 16.2  0.21739130 -4400.00000        1
161 -4.538461538 23.2  1.37500000   270.00000        1
162 -4.192307692 27.0  0.28571429  1225.00000       -1
163 -4.070512821 25.6  0.05882353  2450.00000       -1
164 -2.692307692 28.2  1.30769231   622.22222        1
165 -0.666666667 28.2  3.66666667   509.09091       -1
166  1.929487179 27.6 16.50000000   286.36364        1
167  4.352564103 29.8 18.00000000   206.25000        1
168  6.057692308 32.0  8.66666667   244.44444       -1
169  7.705128205 31.0  2.12500000   286.95652       -1
170  8.262820513 33.4  0.60000000   216.21622        1
171  7.474358974 26.8 -0.88235294 -1250.00000       -1
172  6.839743590 21.8 -0.53571429  -575.00000        1
173  5.935897436 23.0 -0.07894737   505.55556        1
174  5.692307692 23.0 -0.07407407 -2666.66667       -1
